NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
KIF6,kinesin family member 6 [Source:HGNC Symbol;Acc:HGNC:21202],null,null,0.26173538
TMEM150A,transmembrane protein 150A [Source:HGNC Symbol;Acc:HGNC:24677],null,null,0.26150095
RRP15,ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255],null,null,0.2614959
ATP6V1C1,ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856],null,null,0.26139024
CUEDC2,CUE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28352],null,null,0.26132217
FYB1,FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036],null,null,0.26120192
PXN,paxillin [Source:HGNC Symbol;Acc:HGNC:9718],null,null,0.2611445
APAF1,apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576],null,null,0.26091045
ITGA10,integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135],null,null,0.26053914
CHAMP1,chromosome alignment maintaining phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:20311],null,null,0.26032835
TEDC1,tubulin epsilon and delta complex 1 [Source:HGNC Symbol;Acc:HGNC:20127],null,null,0.26030752
GPR152,G protein-coupled receptor 152 [Source:HGNC Symbol;Acc:HGNC:23622],null,null,0.26028463
ADAM21,ADAM metallopeptidase domain 21 [Source:HGNC Symbol;Acc:HGNC:200],null,null,0.26021427
FAM156B,family with sequence similarity 156 member B [Source:HGNC Symbol;Acc:HGNC:31962],null,null,0.26020303
ETS2,"ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]",null,null,0.26017615
TTC21B,tetratricopeptide repeat domain 21B [Source:HGNC Symbol;Acc:HGNC:25660],null,null,0.2600475
RSPO2,R-spondin 2 [Source:HGNC Symbol;Acc:HGNC:28583],null,null,0.26001507
ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:813],null,null,0.25999695
PLAGL2,PLAG1 like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:9047],null,null,0.25996873
NABP1,nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232],null,null,0.25947013
OXR1,oxidation resistance 1 [Source:HGNC Symbol;Acc:HGNC:15822],null,null,0.25927588
POU2F2,POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213],null,null,0.25923055
MRPS18C,mitochondrial ribosomal protein S18C [Source:HGNC Symbol;Acc:HGNC:16633],null,null,0.25908
MED28,mediator complex subunit 28 [Source:HGNC Symbol;Acc:HGNC:24628],null,null,0.25899515
RAB12,"RAB12, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:31332]",null,null,0.25887397
DCAF12L1,DDB1 and CUL4 associated factor 12 like 1 [Source:HGNC Symbol;Acc:HGNC:29395],null,null,0.25864798
PAPOLB,poly(A) polymerase beta [Source:HGNC Symbol;Acc:HGNC:15970],null,null,0.25856096
TSKU,"tsukushi, small leucine rich proteoglycan [Source:HGNC Symbol;Acc:HGNC:28850]",null,null,0.25850967
PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]",null,null,0.2584474
PRRX2,paired related homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21338],null,null,0.25842038
STK36,serine/threonine kinase 36 [Source:HGNC Symbol;Acc:HGNC:17209],null,null,0.25841627
ZNF691,zinc finger protein 691 [Source:HGNC Symbol;Acc:HGNC:28028],null,null,0.25840154
PLA2G4F,phospholipase A2 group IVF [Source:HGNC Symbol;Acc:HGNC:27396],null,null,0.25833774
TUSC1,tumor suppressor candidate 1 [Source:HGNC Symbol;Acc:HGNC:31010],null,null,0.2583212
CELA1,chymotrypsin like elastase 1 [Source:HGNC Symbol;Acc:HGNC:3308],null,null,0.2580109
COMMD9,COMM domain containing 9 [Source:HGNC Symbol;Acc:HGNC:25014],null,null,0.2579515
MYCBP2,MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386],null,null,0.2578957
TPRG1,tumor protein p63 regulated 1 [Source:HGNC Symbol;Acc:HGNC:24759],null,null,0.25789517
ADAMDEC1,ADAM like decysin 1 [Source:HGNC Symbol;Acc:HGNC:16299],null,null,0.2578423
PAQR7,progestin and adipoQ receptor family member 7 [Source:HGNC Symbol;Acc:HGNC:23146],null,null,0.2574914
ZNF330,zinc finger protein 330 [Source:HGNC Symbol;Acc:HGNC:15462],null,null,0.25739285
ABHD15,abhydrolase domain containing 15 [Source:HGNC Symbol;Acc:HGNC:26971],null,null,0.25734985
C4orf36,chromosome 4 open reading frame 36 [Source:HGNC Symbol;Acc:HGNC:28386],null,null,0.25725824
PCSK9,proprotein convertase subtilisin/kexin type 9 [Source:HGNC Symbol;Acc:HGNC:20001],null,null,0.2572475
CALCRL,calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709],null,null,0.25714803
NFKBIB,NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798],null,null,0.25710475
SMAP2,small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082],null,null,0.25706702
PNLIPRP1,pancreatic lipase related protein 1 [Source:HGNC Symbol;Acc:HGNC:9156],null,null,0.2568607
PHPT1,phosphohistidine phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30033],null,null,0.2567351
CDC42EP5,CDC42 effector protein 5 [Source:HGNC Symbol;Acc:HGNC:17408],null,null,0.25665346
KIF19,kinesin family member 19 [Source:HGNC Symbol;Acc:HGNC:26735],null,null,0.25663474
TMEM216,transmembrane protein 216 [Source:HGNC Symbol;Acc:HGNC:25018],null,null,0.2564195
ATAD5,ATPase family AAA domain containing 5 [Source:HGNC Symbol;Acc:HGNC:25752],null,null,0.25641036
PTMA,prothymosin alpha [Source:HGNC Symbol;Acc:HGNC:9623],null,null,0.25601426
DERL3,derlin 3 [Source:HGNC Symbol;Acc:HGNC:14236],null,null,0.25580063
CPNE5,copine 5 [Source:HGNC Symbol;Acc:HGNC:2318],null,null,0.2557888
HELB,DNA helicase B [Source:HGNC Symbol;Acc:HGNC:17196],null,null,0.25524735
VPS13C,vacuolar protein sorting 13 homolog C [Source:HGNC Symbol;Acc:HGNC:23594],null,null,0.25507072
PET100,PET100 cytochrome c oxidase chaperone [Source:HGNC Symbol;Acc:HGNC:40038],null,null,0.25502756
BTF3,basic transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:1125],null,null,0.2549616
U2AF1L5,U2 small nuclear RNA auxiliary factor 1 like 5 [Source:HGNC Symbol;Acc:HGNC:51830],null,null,0.25457945
RNF166,ring finger protein 166 [Source:HGNC Symbol;Acc:HGNC:28856],null,null,0.25453916
SPRED2,sprouty related EVH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17722],null,null,0.25452465
ASPN,asporin [Source:HGNC Symbol;Acc:HGNC:14872],null,null,0.25448123
PSMD1,"proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]",null,null,0.25443664
MRC2,mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875],null,null,0.25433815
TBCC,tubulin folding cofactor C [Source:HGNC Symbol;Acc:HGNC:11580],null,null,0.25430232
ZBED8,zinc finger BED-type containing 8 [Source:HGNC Symbol;Acc:HGNC:30804],null,null,0.25430173
OSBPL9,oxysterol binding protein like 9 [Source:HGNC Symbol;Acc:HGNC:16386],null,null,0.254248
UFSP2,UFM1 specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:25640],null,null,0.2542224
MBOAT2,membrane bound O-acyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25193],null,null,0.25398338
TRIM16,tripartite motif containing 16 [Source:HGNC Symbol;Acc:HGNC:17241],null,null,0.25362948
AXDND1,axonemal dynein light chain domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26564],null,null,0.25352007
RMND5B,required for meiotic nuclear division 5 homolog B [Source:HGNC Symbol;Acc:HGNC:26181],null,null,0.25344765
SPINK4,"serine peptidase inhibitor, Kazal type 4 [Source:HGNC Symbol;Acc:HGNC:16646]",null,null,0.25341493
SMARCAD1,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1 [Source:HGNC Symbol;Acc:HGNC:18398]",null,null,0.2532347
SOCS1,suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383],null,null,0.25301245
C15orf40,chromosome 15 open reading frame 40 [Source:HGNC Symbol;Acc:HGNC:28443],null,null,0.25299346
RAP1A,"RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]",null,null,0.25294805
MLLT10,MLLT10 histone lysine methyltransferase DOT1L cofactor [Source:HGNC Symbol;Acc:HGNC:16063],null,null,0.25282446
VASH2,vasohibin 2 [Source:HGNC Symbol;Acc:HGNC:25723],null,null,0.252593
ARL10,ADP ribosylation factor like GTPase 10 [Source:HGNC Symbol;Acc:HGNC:22042],null,null,0.25227606
CRTC2,CREB regulated transcription coactivator 2 [Source:HGNC Symbol;Acc:HGNC:27301],null,null,0.2522263
RPS7,ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440],null,null,0.25213614
HMGXB3,HMG-box containing 3 [Source:HGNC Symbol;Acc:HGNC:28982],null,null,0.25209242
NXPH2,neurexophilin 2 [Source:HGNC Symbol;Acc:HGNC:8076],null,null,0.2519801
ZNF277,zinc finger protein 277 [Source:HGNC Symbol;Acc:HGNC:13070],null,null,0.25174218
TCAF2,TRPM8 channel associated factor 2 [Source:HGNC Symbol;Acc:HGNC:26878],null,null,0.2516073
PPP2R3B,protein phosphatase 2 regulatory subunit B''beta [Source:HGNC Symbol;Acc:HGNC:13417],null,null,0.25137275
ZFAT,zinc finger and AT-hook domain containing [Source:HGNC Symbol;Acc:HGNC:19899],null,null,0.25135353
PCNX4,pecanex 4 [Source:HGNC Symbol;Acc:HGNC:20349],null,null,0.25126228
MANSC1,MANSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25505],null,null,0.25110307
CYLD,CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584],null,null,0.25105715
LARP6,"La ribonucleoprotein 6, translational regulator [Source:HGNC Symbol;Acc:HGNC:24012]",null,null,0.2509787
LYPD8,LY6/PLAUR domain containing 8 [Source:HGNC Symbol;Acc:HGNC:44208],null,null,0.25096464
TNNC1,"troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]",null,null,0.25082424
SLC25A1,solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979],null,null,0.25005788
ZNF622,zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958],null,null,0.24993008
FXYD3,FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:HGNC:4027],null,null,0.2497943
SCUBE1,"signal peptide, CUB domain and EGF like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13441]",null,null,0.24976522
ZNF462,zinc finger protein 462 [Source:HGNC Symbol;Acc:HGNC:21684],null,null,0.24962363
CASP2,caspase 2 [Source:HGNC Symbol;Acc:HGNC:1503],null,null,0.24934727
PPP1R3F,protein phosphatase 1 regulatory subunit 3F [Source:HGNC Symbol;Acc:HGNC:14944],null,null,0.24933913
OTUD5,OTU deubiquitinase 5 [Source:HGNC Symbol;Acc:HGNC:25402],null,null,0.24930595
ST6GALNAC3,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:19343]",null,null,0.24927205
SSB,small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316],null,null,0.24923027
ZSCAN2,zinc finger and SCAN domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20994],null,null,0.24906719
STEAP1,STEAP family member 1 [Source:HGNC Symbol;Acc:HGNC:11378],null,null,0.24900365
ENDOV,endonuclease V [Source:HGNC Symbol;Acc:HGNC:26640],null,null,0.2489827
PTPDC1,protein tyrosine phosphatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30184],null,null,0.248811
TMEM104,transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984],null,null,0.24868733
MKS1,MKS transition zone complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7121],null,null,0.24792929
GRB2,growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566],null,null,0.24784286
RIOX2,ribosomal oxygenase 2 [Source:HGNC Symbol;Acc:HGNC:19441],null,null,0.24783048
MED24,mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963],null,null,0.24782795
SAT1,spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540],null,null,0.24751717
ZNF821,zinc finger protein 821 [Source:HGNC Symbol;Acc:HGNC:28043],null,null,0.24741815
MAZ,MYC associated zinc finger protein [Source:HGNC Symbol;Acc:HGNC:6914],null,null,0.24722633
PFDN5,prefoldin subunit 5 [Source:HGNC Symbol;Acc:HGNC:8869],null,null,0.24716184
MRI1,methylthioribose-1-phosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:28469],null,null,0.2471514
CNTNAP4,contactin associated protein like 4 [Source:HGNC Symbol;Acc:HGNC:18747],null,null,0.24689713
GABRR2,gamma-aminobutyric acid type A receptor rho2 subunit [Source:HGNC Symbol;Acc:HGNC:4091],null,null,0.24688055
NAF1,nuclear assembly factor 1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:25126],null,null,0.24679771
PTK7,protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618],null,null,0.24664314
PRR36,proline rich 36 [Source:HGNC Symbol;Acc:HGNC:26172],null,null,0.24643865
MCAT,malonyl-CoA-acyl carrier protein transacylase [Source:HGNC Symbol;Acc:HGNC:29622],null,null,0.24639134
ASAH1,N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735],null,null,0.24607982
SFR1,SWI5 dependent homologous recombination repair protein 1 [Source:HGNC Symbol;Acc:HGNC:29574],null,null,0.24604699
ZCCHC3,zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230],null,null,0.24600941
COG3,component of oligomeric golgi complex 3 [Source:HGNC Symbol;Acc:HGNC:18619],null,null,0.24586298
RPL29,ribosomal protein L29 [Source:HGNC Symbol;Acc:HGNC:10331],null,null,0.24573427
SSBP1,single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317],null,null,0.2456683
MOB2,MOB kinase activator 2 [Source:HGNC Symbol;Acc:HGNC:24904],null,null,0.24562597
SAPCD1,suppressor APC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13938],null,null,0.24528937
ZNF560,zinc finger protein 560 [Source:HGNC Symbol;Acc:HGNC:26484],null,null,0.24484614
FBXL17,F-box and leucine rich repeat protein 17 [Source:HGNC Symbol;Acc:HGNC:13615],null,null,0.2448238
JMJD7-PLA2G4B,JMJD7-PLA2G4B readthrough [Source:HGNC Symbol;Acc:HGNC:34449],null,null,0.24471359
RBFOX1,RNA binding fox-1 homolog 1 [Source:HGNC Symbol;Acc:HGNC:18222],null,null,0.24443515
SLC25A35,solute carrier family 25 member 35 [Source:HGNC Symbol;Acc:HGNC:31921],null,null,0.2444168
CERKL,ceramide kinase like [Source:HGNC Symbol;Acc:HGNC:21699],null,null,0.2437264
SRSF6,serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788],null,null,0.24371022
DESI1,desumoylating isopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:24577],null,null,0.24363951
SNRPN,small nuclear ribonucleoprotein polypeptide N [Source:HGNC Symbol;Acc:HGNC:11164],null,null,0.2436054
FBRS,fibrosin [Source:HGNC Symbol;Acc:HGNC:20442],null,null,0.24339058
RPS6KA6,ribosomal protein S6 kinase A6 [Source:HGNC Symbol;Acc:HGNC:10435],null,null,0.24334629
KNTC1,kinetochore associated 1 [Source:HGNC Symbol;Acc:HGNC:17255],null,null,0.2433151
CAPRIN2,caprin family member 2 [Source:HGNC Symbol;Acc:HGNC:21259],null,null,0.24326462
CORO2B,coronin 2B [Source:HGNC Symbol;Acc:HGNC:2256],null,null,0.2432545
GIMAP6,"GTPase, IMAP family member 6 [Source:HGNC Symbol;Acc:HGNC:21918]",null,null,0.24323232
CEP57L1,centrosomal protein 57 like 1 [Source:HGNC Symbol;Acc:HGNC:21561],null,null,0.24319768
NRP2,neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005],null,null,0.24309172
SEPTIN8,septin 8 [Source:HGNC Symbol;Acc:HGNC:16511],null,null,0.2428784
IFFO2,intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:HGNC:27006],null,null,0.24282378
GGPS1,geranylgeranyl diphosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:4249],null,null,0.24271753
PAK2,p21 (RAC1) activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591],null,null,0.24264354
ARHGAP15,Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030],null,null,0.24252956
KCNJ14,potassium inwardly rectifying channel subfamily J member 14 [Source:HGNC Symbol;Acc:HGNC:6260],null,null,0.24233975
CBLN3,cerebellin 3 precursor [Source:HGNC Symbol;Acc:HGNC:20146],null,null,0.24232112
SNURF,SNRPN upstream reading frame [Source:HGNC Symbol;Acc:HGNC:11171],null,null,0.24231222
NPEPPS,aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:HGNC:7900],null,null,0.2422389
RBMX,RNA binding motif protein X-linked [Source:HGNC Symbol;Acc:HGNC:9910],null,null,0.24222276
JOSD2,Josephin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28853],null,null,0.24212806
ERF,ETS2 repressor factor [Source:HGNC Symbol;Acc:HGNC:3444],null,null,0.24194469
PDIA6,protein disulfide isomerase family A member 6 [Source:HGNC Symbol;Acc:HGNC:30168],null,null,0.24183135
TMEM17,transmembrane protein 17 [Source:HGNC Symbol;Acc:HGNC:26623],null,null,0.24178024
MFAP2,microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033],null,null,0.24176006
MRPL52,mitochondrial ribosomal protein L52 [Source:HGNC Symbol;Acc:HGNC:16655],null,null,0.2415546
SCHIP1,schwannomin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:15678],null,null,0.24147813
PUS10,pseudouridine synthase 10 [Source:HGNC Symbol;Acc:HGNC:26505],null,null,0.2414338
BRICD5,BRICHOS domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28309],null,null,0.24141285
PSMD2,"proteasome 26S subunit, non-ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9559]",null,null,0.24130325
PRSS3,serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486],null,null,0.24126539
RTL9,retrotransposon Gag like 9 [Source:HGNC Symbol;Acc:HGNC:29245],null,null,0.24115789
TOX4,TOX high mobility group box family member 4 [Source:HGNC Symbol;Acc:HGNC:20161],null,null,0.24102949
ZC3HC1,zinc finger C3HC-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29913],null,null,0.24093649
CENPO,centromere protein O [Source:HGNC Symbol;Acc:HGNC:28152],null,null,0.24084385
ROBO1,roundabout guidance receptor 1 [Source:HGNC Symbol;Acc:HGNC:10249],null,null,0.24068472
BLK,"BLK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1057]",null,null,0.24066465
PFAS,phosphoribosylformylglycinamidine synthase [Source:HGNC Symbol;Acc:HGNC:8863],null,null,0.24034505
RNF26,ring finger protein 26 [Source:HGNC Symbol;Acc:HGNC:14646],null,null,0.2402579
TMEM191C,transmembrane protein 191C [Source:HGNC Symbol;Acc:HGNC:33601],null,null,0.24025105
COL26A1,collagen type XXVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:18038],null,null,0.2402446
PHEX,phosphate regulating endopeptidase homolog X-linked [Source:HGNC Symbol;Acc:HGNC:8918],null,null,0.24024086
PXDN,peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966],null,null,0.24015424
BRIX1,biogenesis of ribosomes BRX1 [Source:HGNC Symbol;Acc:HGNC:24170],null,null,0.24015024
NCDN,neurochondrin [Source:HGNC Symbol;Acc:HGNC:17597],null,null,0.23983851
SNAPIN,SNAP associated protein [Source:HGNC Symbol;Acc:HGNC:17145],null,null,0.2397139
PDS5B,PDS5 cohesin associated factor B [Source:HGNC Symbol;Acc:HGNC:20418],null,null,0.23971017
FCHO1,FCH and mu domain containing endocytic adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29002],null,null,0.23970489
MOK,MOK protein kinase [Source:HGNC Symbol;Acc:HGNC:9833],null,null,0.23957272
UBE2O,ubiquitin conjugating enzyme E2 O [Source:HGNC Symbol;Acc:HGNC:29554],null,null,0.23954295
HR,HR lysine demethylase and nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:5172],null,null,0.23948954
FCGR1A,Fc fragment of IgG receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613],null,null,0.23942964
DNAAF4,dynein axonemal assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21493],null,null,0.2393784
IMPDH2,inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053],null,null,0.23937452
RBBP8,"RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]",null,null,0.23928024
LRRC20,leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:HGNC:23421],null,null,0.23919652
NT5DC1,5'-nucleotidase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21556],null,null,0.23913504
FBXL2,F-box and leucine rich repeat protein 2 [Source:HGNC Symbol;Acc:HGNC:13598],null,null,0.23911148
FUT10,fucosyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19234],null,null,0.23906456
TSR3,TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175],null,null,0.23890868
TP53INP2,tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104],null,null,0.23803517
NAA15,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:30782]",null,null,0.2379153
PCDHB14,protocadherin beta 14 [Source:HGNC Symbol;Acc:HGNC:8685],null,null,0.23788992
CLCN6,chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024],null,null,0.2378832
RPS29,ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419],null,null,0.23779604
RUSC1,RUN and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17153],null,null,0.23760495
POLG,"DNA polymerase gamma, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9179]",null,null,0.23745266
NMT2,N-myristoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7858],null,null,0.23729143
IGFBP5,insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474],null,null,0.23721701
FZD6,frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044],null,null,0.23692472
TPGS2,tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561],null,null,0.23689729
DCAF8,DDB1 and CUL4 associated factor 8 [Source:HGNC Symbol;Acc:HGNC:24891],null,null,0.23686959
FDFT1,farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629],null,null,0.23679748
TBX18,T-box transcription factor 18 [Source:HGNC Symbol;Acc:HGNC:11595],null,null,0.23672481
SMO,"smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]",null,null,0.23653221
GARS1,glycyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:4162],null,null,0.2365297
KIF7,kinesin family member 7 [Source:HGNC Symbol;Acc:HGNC:30497],null,null,0.2364481
NIPAL4,NIPA like domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28018],null,null,0.23640557
TTF1,transcription termination factor 1 [Source:HGNC Symbol;Acc:HGNC:12397],null,null,0.23636717
FBXW11,F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607],null,null,0.2363431
POLR2G,RNA polymerase II subunit G [Source:HGNC Symbol;Acc:HGNC:9194],null,null,0.2360948
UHRF1BP1L,UHRF1 binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:29102],null,null,0.23603396
ERI2,ERI1 exoribonuclease family member 2 [Source:HGNC Symbol;Acc:HGNC:30541],null,null,0.23600101
CNPY1,canopy FGF signaling regulator 1 [Source:HGNC Symbol;Acc:HGNC:27786],null,null,0.23580506
C1orf100,chromosome 1 open reading frame 100 [Source:HGNC Symbol;Acc:HGNC:30435],null,null,0.23579212
RGS17,regulator of G protein signaling 17 [Source:HGNC Symbol;Acc:HGNC:14088],null,null,0.23577307
SEM1,SEM1 26S proteasome complex subunit [Source:HGNC Symbol;Acc:HGNC:10845],null,null,0.23570396
EEA1,early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185],null,null,0.23570181
LRRCC1,leucine rich repeat and coiled-coil centrosomal protein 1 [Source:HGNC Symbol;Acc:HGNC:29373],null,null,0.2354957
NPFF,neuropeptide FF-amide peptide precursor [Source:HGNC Symbol;Acc:HGNC:7901],null,null,0.23526442
POLD3,"DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]",null,null,0.23521091
STOX1,storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508],null,null,0.23512569
SLC37A1,solute carrier family 37 member 1 [Source:HGNC Symbol;Acc:HGNC:11024],null,null,0.23500632
GML,glycosylphosphatidylinositol anchored molecule like [Source:HGNC Symbol;Acc:HGNC:4375],null,null,0.23489445
GOPC,golgi associated PDZ and coiled-coil motif containing [Source:HGNC Symbol;Acc:HGNC:17643],null,null,0.23477069
GGA3,"golgi associated, gamma adaptin ear containing, ARF binding protein 3 [Source:HGNC Symbol;Acc:HGNC:17079]",null,null,0.23475523
SREK1,splicing regulatory glutamic acid and lysine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:17882],null,null,0.23467362
TRAF3IP1,TRAF3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17861],null,null,0.23449562
LDB1,LIM domain binding 1 [Source:HGNC Symbol;Acc:HGNC:6532],null,null,0.2344323
ADGRB2,adhesion G protein-coupled receptor B2 [Source:HGNC Symbol;Acc:HGNC:944],null,null,0.2344036
CAPSL,calcyphosine like [Source:HGNC Symbol;Acc:HGNC:28375],null,null,0.23425284
EFCAB3,EF-hand calcium binding domain 3 [Source:HGNC Symbol;Acc:HGNC:26379],null,null,0.23412877
NADK2,"NAD kinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26404]",null,null,0.23407823
HEMK1,HemK methyltransferase family member 1 [Source:HGNC Symbol;Acc:HGNC:24923],null,null,0.23405465
DNAAF5,dynein axonemal assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:26013],null,null,0.2340189
NAV1,neuron navigator 1 [Source:HGNC Symbol;Acc:HGNC:15989],null,null,0.2338927
AFAP1,actin filament associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24017],null,null,0.23384206
ZSWIM8,zinc finger SWIM-type containing 8 [Source:HGNC Symbol;Acc:HGNC:23528],null,null,0.2337325
SUPT4H1,"SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]",null,null,0.23338577
REV1,REV1 DNA directed polymerase [Source:HGNC Symbol;Acc:HGNC:14060],null,null,0.23334673
