Human Marker Symbol,Human Entrez Gene ID,Mouse Marker Symbol,MGI Marker Accession ID
C1orf54,79630,BC028528,  MGI:2385885
C1orf56,54964,Gm128,  MGI:2684974
C1orf68,100129271,2310050C09Rik,  MGI:1913783
C1orf74,148304,A130010J15Rik,  MGI:2441776
C1orf87,127795,Gm12695,  MGI:3650206
C1orf94,84970,CK137956,  MGI:3616080
C1QA,712,C1qa,  MGI:88223
C1QB,713,C1qb,  MGI:88224
C1QBP,708,C1qbp,  MGI:1194505
C1QC,714,C1qc,  MGI:88225
C1QL1,10882,C1ql1,  MGI:1344400
C1QL2,165257,C1ql2,  MGI:3032521
C1QL3,389941,C1ql3,  MGI:2387350
C1QL4,338761,C1ql4,  MGI:3579909
C1QTNF1,114897,C1qtnf1,  MGI:1919254
C1QTNF12,388581,C1qtnf12,  MGI:1914639
C1QTNF2,114898,C1qtnf2,  MGI:1916433
C1QTNF3,114899,C1qtnf3,  MGI:1932136
C1QTNF4,114900,C1qtnf4,  MGI:1914695
C1QTNF5,114902,C1qtnf5,  MGI:2385958
C1QTNF6,114904,C1qtnf6,  MGI:1919959
C1QTNF7,114905,C1qtnf7,  MGI:1925911
C1QTNF9,338872,C1qtnf9,  MGI:3045252
C1QTNF9B,387911,C1qtnf9,  MGI:3045252
C1R,715,C1ra,  MGI:1355313
C1R,715,C1rb,  MGI:3779804
C1RL,51279,C1rl,  MGI:2660692
C1S,716,C1s1,  MGI:1355312
C1S,716,C1s2,  MGI:3644269
C2,717,C2,  MGI:88226
C20orf141,128653,1700020A23Rik,  MGI:1922906
C20orf144,128864,1700003F12Rik,  MGI:1922730
C20orf173,140873,6430550D23Rik,  MGI:2443361
C20orf194,25943,4930402H24Rik,  MGI:1923029
C20orf202,400831,Tmem74bos,  MGI:3039588
C20orf204,284739,Gm29797,  MGI:5588956
C20orf27,54976,1700037H04Rik,  MGI:1914576
C20orf85,128602,1700021F07Rik,  MGI:1919471
C20orf96,140680,6820408C15Rik,  MGI:3045333
C21orf58,54058,2610028H24Rik,  MGI:1924214
C21orf62,56245,4932438H23Rik,  MGI:1921637
C21orf91,54149,D16Ertd472e,  MGI:1196400
C22orf15,150248,Gm867,  MGI:2685713
C22orf23,84645,1700088E04Rik,  MGI:1920774
C22orf39,128977,2510002D24Rik,  MGI:1919557
C22orf46,79640,4930407I10Rik,  MGI:2685593
C2CD2,25966,C2cd2,  MGI:1891883
C2CD2L,9854,C2cd2l,  MGI:1919014
C2CD3,26005,C2cd3,  MGI:2142166
C2CD4A,145741,C2cd4a,  MGI:3645763
C2CD4B,388125,C2cd4b,  MGI:1922947
C2CD4C,126567,C2cd4c,  MGI:2685084
C2CD4D,100191040,C2cd4d,  MGI:2685505
C2CD5,9847,C2cd5,  MGI:1921991
C2CD6,151254,C2cd6,  MGI:1920713
C2orf16,84226,4932415D10Rik,  MGI:3045298
C2orf42,54980,C87436,  MGI:2141787
C2orf49,79074,AI597479,  MGI:2138299
C2orf50,130813,2410004P03Rik,  MGI:1920917
C2orf66,401027,Gm34066,  MGI:5593225
C2orf68,388969,0610030E20Rik,  MGI:1915614
C2orf69,205327,1700066M21Rik,  MGI:1920717
C2orf72,257407,2810459M11Rik,  MGI:1920042
C2orf73,129852,4930505A04Rik,  MGI:1922337
C2orf74,339804,1700093K21Rik,  MGI:1914608
C2orf76,130355,3110009E18Rik,  MGI:1920353
C2orf80,389073,D630023F18Rik,  MGI:2138198
C2orf81,388963,1700003E16Rik,  MGI:1919087
C2orf88,84281,1700019D03Rik,  MGI:1914330
C2orf92,728537,4933424G06Rik,  MGI:1918416
C3,718,C3,  MGI:88227
C3AR1,719,C3ar1,  MGI:1097680
C3orf14,57415,3830406C13Rik,  MGI:1917937
C3orf18,51161,6430571L13Rik,  MGI:2445137
C3orf20,84077,4930590J08Rik,  MGI:2685917
C3orf22,152065,BC048671,  MGI:2679261
C3orf33,285315,E130311K13Rik,  MGI:3607716
C3orf38,285237,4930453N24Rik,  MGI:1914859
C3orf49,132200,Gm11100,  MGI:3779338
C3orf52,79669,BC016579,  MGI:2384848
C3orf62,375341,1700102P08Rik,  MGI:2148248
C3orf70,285382,2510009E07Rik,  MGI:1919440
C3orf80,401097,1110032F04Rik,  MGI:1915975
C3orf84,646498,BC048562,  MGI:3618861
C3orf85,401081,Gm5485,  MGI:3647875
C3orf86,102724231,Gm35549,  MGI:5594708
C4A,720,C4a,  MGI:98320
C4A,720,C4b,  MGI:88228
C4B,721,C4a,  MGI:98320
C4B,721,C4b,  MGI:88228
C4orf17,84103,4930579F01Rik,  MGI:1914991
C4orf19,55286,0610040J01Rik,  MGI:1923511
C4orf3,401152,1810037I17Rik,  MGI:1914954
C4orf33,132321,D3Ertd751e,  MGI:1289213
C4orf36,132989,1700016H13Rik,  MGI:1921468
C4orf45,152940,Gm17359,  MGI:4936993
C4orf46,201725,4930579G24Rik,  MGI:1923189
C4orf47,441054,1700029J07Rik,  MGI:1916729
C4orf48,401115,Gm1673,  MGI:2686519
C4orf50,389197,Gm1043,  MGI:2685889
C4orf51,646603,1700011L22Rik,  MGI:1914937
C4orf54,285556,1110002E22Rik,  MGI:1915066
C5,727,Hc,  MGI:96031
C5AR1,728,C5ar1,  MGI:88232
C5AR2,27202,C5ar2,  MGI:2442013
C5orf15,56951,9530068E07Rik,  MGI:2654705
C5orf22,55322,6030458C11Rik,  MGI:1925127
C5orf24,134553,B230219D22Rik,  MGI:1925771
C5orf34,375444,4833420G17Rik,  MGI:1914642
C5orf46,389336,Gm94,  MGI:2684940
C5orf47,133491,4930524B15Rik,  MGI:1914842
C5orf49,134121,1700001L19Rik,  MGI:1916565
C5orf51,285636,AW549877,  MGI:2146232
C5orf52,100190949,4921536K21Rik,  MGI:1914680
C5orf63,401207,C330018D20Rik,  MGI:1924672
C6,729,C6,  MGI:88233
C6orf118,168090,1700010I14Rik,  MGI:1914181
C6orf120,387263,1600012H06Rik,  MGI:1915162
C6orf132,647024,AI661453,  MGI:2146908
C6orf136,221545,2310061I04Rik,  MGI:1916912
C6orf141,135398,9130008F23Rik,  MGI:1918833
C6orf15,29113,2300002M23Rik,  MGI:1916792
C6orf163,206412,Gm136,  MGI:2684982
C6orf201,404220,4933417A18Rik,  MGI:1914011
C6orf226,441150,2310039H08Rik,  MGI:1914351
C6orf47,57827,D17H6S53E,  MGI:90673
C6orf58,352999,2310057J18Rik,  MGI:1914969
C6orf62,81688,BC005537,  MGI:2441726
C6orf89,221477,BC004004,  MGI:2136782
C7,730,C7,  MGI:88235
C7orf25,79020,AW209491,  MGI:2145422
C7orf26,79034,E130309D02Rik,  MGI:2442621
C7orf31,136895,4921507P07Rik,  MGI:1918071
C7orf50,84310,3110082I17Rik,  MGI:1920462
C7orf57,136288,Gm11992,  MGI:3651127
C7orf61,402573,Tsc22d4,  MGI:1926079
C8A,731,C8a,  MGI:2668347
C8B,732,C8b,  MGI:88236
C8G,733,C8g,  MGI:88237
C8orf33,65265,1110038F14Rik,  MGI:2152337
C8orf34,116328,A830018L16Rik,  MGI:2444149
C8orf37,157657,2610301B20Rik,  MGI:1914407
C8orf48,157773,AI429214,  MGI:2142538
C8orf58,541565,9930012K11Rik,  MGI:2145726
C8orf74,203076,4930578I06Rik,  MGI:1915000
C8orf76,84933,9130401M01Rik,  MGI:1923008
C8orf82,414919,C030006K11Rik,  MGI:1925941
C8orf88,100127983,Gm11837,  MGI:3702175
C8orf89,100130301,4930444P10Rik,  MGI:1923049
C9,735,C9,  MGI:1098282
C9orf116,138162,1700007K13Rik,  MGI:1916577
C9orf131,138724,1700022I11Rik,  MGI:1914567
C9orf135,138255,1700028P14Rik,  MGI:1914733
C9orf152,401546,D630039A03Rik,  MGI:2442889
C9orf153,389766,4921517D22Rik,  MGI:1918150
C9orf16,79095,1110008P14Rik,  MGI:1920987
C9orf24,84688,1110017D15Rik,  MGI:1920971
C9orf40,55071,D030056L22Rik,  MGI:3583960
C9orf43,257169,4933430I17Rik,  MGI:3045314
C9orf50,375759,1700001O22Rik,  MGI:1923631
C9orf57,138240,Gm3443,  MGI:3781620
C9orf64,84267,2210016F16Rik,  MGI:1917403
C9orf72,203228,C9orf72,  MGI:1920455
C9orf78,51759,BC005624,  MGI:2385132
C9orf85,138241,1110059E24Rik,  MGI:1913456
CA1,759,Car1,  MGI:88268
CA10,56934,Car10,  MGI:1919855
CA11,770,Car11,  MGI:1336193
CA12,771,Car12,  MGI:1923709
CA13,377677,Car13,  MGI:1931322
CA14,23632,Car14,  MGI:1344341
CA2,760,Car2,  MGI:88269
CA3,761,Car3,  MGI:88270
CA4,762,Car4,  MGI:1096574
CA5A,763,Car5a,  MGI:101946
CA5B,11238,Car5b,  MGI:1926249
CA6,765,Car6,  MGI:1333786
CA7,766,Car7,  MGI:103100
CA8,767,Car8,  MGI:88253
CA9,768,Car9,  MGI:2447188
CAAP1,79886,Caap1,  MGI:1915020
CAB39,51719,Cab39,  MGI:107438
CAB39L,81617,Cab39l,  MGI:1914081
CABCOCO1,219621,Cabcoco1,  MGI:1920537
CABIN1,23523,Cabin1,  MGI:1298375
CABLES1,91768,Cables1,  MGI:1927065
CABLES2,81928,Cables2,  MGI:2182335
CABP1,9478,Cabp1,  MGI:1352750
CABP2,51475,Cabp2,  MGI:1352749
CABP4,57010,Cabp4,  MGI:1920910
CABP5,56344,Cabp5,  MGI:1352746
CABP7,164633,Cabp7,  MGI:2183437
CABS1,85438,Cabs1,  MGI:1918227
CABYR,26256,Cabyr,  MGI:1918382
CACFD1,11094,Cacfd1,  MGI:1924317
CACHD1,57685,Cachd1,  MGI:2444177
CACNA1A,773,Cacna1a,  MGI:109482
CACNA1B,774,Cacna1b,  MGI:88296
CACNA1C,775,Cacna1c,  MGI:103013
CACNA1D,776,Cacna1d,  MGI:88293
CACNA1E,777,Cacna1e,  MGI:106217
CACNA1F,778,Cacna1f,  MGI:1859639
CACNA1G,8913,Cacna1g,  MGI:1201678
CACNA1H,8912,Cacna1h,  MGI:1928842
CACNA1I,8911,Cacna1i,  MGI:2178051
CACNA1S,779,Cacna1s,  MGI:88294
CACNA2D1,781,Cacna2d1,  MGI:88295
CACNA2D2,9254,Cacna2d2,  MGI:1929813
CACNA2D3,55799,Cacna2d3,  MGI:1338890
CACNA2D4,93589,Cacna2d4,  MGI:2442632
CACNB1,782,Cacnb1,  MGI:102522
CACNB2,783,Cacnb2,  MGI:894644
CACNB3,784,Cacnb3,  MGI:103307
CACNB4,785,Cacnb4,  MGI:103301
CACNG1,786,Cacng1,  MGI:1206582
CACNG2,10369,Cacng2,  MGI:1316660
CACNG3,10368,Cacng3,  MGI:1859165
CACNG4,27092,Cacng4,  MGI:1859167
CACNG5,27091,Cacng5,  MGI:2157946
CACNG6,59285,Cacng6,  MGI:1859168
CACNG7,59284,Cacng7,  MGI:1932374
CACNG8,59283,Cacng8,  MGI:1932376
CACTIN,58509,Cactin,  MGI:1917562
CACUL1,143384,Cacul1,  MGI:1926082
CACYBP,27101,Cacybp,  MGI:1270839
CAD,790,Cad,  MGI:1916969
CADM1,23705,Cadm1,  MGI:1889272
CADM2,253559,Cadm2,  MGI:2442722
CADM3,57863,Cadm3,  MGI:2137858
CADM4,199731,Cadm4,  MGI:2449088
CADPS,8618,Cadps,  MGI:1350922
CADPS2,93664,Cadps2,  MGI:2443963
CAGE1,285782,Cage1,  MGI:1918463
CALB1,793,Calb1,  MGI:88248
CALB2,794,Calb2,  MGI:101914
CALCA,796,Calca,  MGI:2151253
CALCB,797,Calcb,  MGI:2151254
CALCOCO1,57658,Calcoco1,  MGI:1914738
CALCOCO2,10241,Calcoco2,  MGI:1343177
CALCR,799,Calcr,  MGI:101950
CALCRL,10203,Calcrl,  MGI:1926944
CALD1,800,Cald1,  MGI:88250
CALHM1,255022,Calhm1,  MGI:3643383
CALHM2,51063,Calhm2,  MGI:1919941
CALHM3,119395,Calhm3,  MGI:3645665
CALHM4,221301,Calhm4,  MGI:2685489
CALHM5,254228,Calhm5,  MGI:2143897
CALHM6,441168,Calhm6,  MGI:2443082
CALM1,801,Calm1,  MGI:88251
CALM2,805,Calm2,  MGI:103250
CALM3,808,Calm3,  MGI:103249
CALML3,810,Calml3,  MGI:1917655
CALML4,91860,Calml4,  MGI:1922850
CALML5,51806,Calm4,  MGI:1931464
CALN1,83698,Caln1,  MGI:2155987
CALR,811,Calr,  MGI:88252
CALR3,125972,Calr3,  MGI:1920566
CALR4P,441884,Calr4,  MGI:2140435
CALU,813,Calu,  MGI:1097158
CALY,50632,Caly,  MGI:1915816
CAMK1,8536,Camk1,  MGI:1098535
CAMK1D,57118,Camk1d,  MGI:2442190
CAMK1G,57172,Camk1g,  MGI:2388073
CAMK2A,815,Camk2a,  MGI:88256
CAMK2B,816,Camk2b,  MGI:88257
CAMK2D,817,Camk2d,  MGI:1341265
CAMK2G,818,Camk2g,  MGI:88259
CAMK2N1,55450,Camk2n1,  MGI:1913509
CAMK2N2,94032,Camk2n2,  MGI:1920297
CAMK4,814,Camk4,  MGI:88258
CAMKK1,84254,Camkk1,  MGI:1891766
CAMKK2,10645,Camkk2,  MGI:2444812
CAMKMT,79823,Camkmt,  MGI:1920832
CAMKV,79012,Camkv,  MGI:2384296
CAMLG,819,Caml,  MGI:104728
CAMP,820,Camp,  MGI:108443
CAMSAP1,157922,Camsap1,  MGI:3036242
CAMSAP2,23271,Camsap2,  MGI:1922434
CAMSAP3,57662,Camsap3,  MGI:1916947
CAMTA1,23261,Camta1,  MGI:2140230
CAMTA2,23125,Camta2,  MGI:2135957
CAND1,55832,Cand1,  MGI:1261820
CAND2,23066,Cand2,  MGI:1914338
CANT1,124583,Cant1,  MGI:1923275
CANX,821,Canx,  MGI:88261
CAP1,10487,Cap1,  MGI:88262
CAP2,10486,Cap2,  MGI:1914502
CAPG,822,Capg,  MGI:1098259
CAPN1,823,Capn1,  MGI:88263
CAPN10,11132,Capn10,  MGI:1344392
CAPN11,11131,Capn11,  MGI:1352490
CAPN12,147968,Capn12,  MGI:1891369
CAPN13,92291,Capn13,  MGI:2685789
CAPN15,6650,Capn15,  MGI:1355075
CAPN2,824,Capn2,  MGI:88264
CAPN3,825,Capn3,  MGI:107437
CAPN5,726,Capn5,  MGI:1100859
CAPN6,827,Capn6,  MGI:1100850
CAPN7,23473,Capn7,  MGI:1338030
CAPN8,388743,Capn8,  MGI:2181366
CAPN9,10753,Capn9,  MGI:1920897
CAPNS1,826,Capns1,  MGI:88266
CAPNS2,84290,Capns2,  MGI:1916793
CAPRIN1,4076,Caprin1,  MGI:1858234
CAPRIN2,65981,Caprin2,  MGI:2448541
CAPS2,84698,Caps2,  MGI:2441980
CAPSL,133690,Capsl,  MGI:1922818
CAPZA1,829,Capza1,  MGI:106227
CAPZA2,830,Capza2,  MGI:106222
CAPZA3,93661,Capza3,  MGI:106221
CAPZB,832,Capzb,  MGI:104652
CARD10,29775,Card10,  MGI:2146012
CARD11,84433,Card11,  MGI:1916978
CARD14,79092,Card14,  MGI:2386258
CARD19,84270,Card19,  MGI:1915730
CARD6,84674,Card6,  MGI:3032959
CARD9,64170,Card9,  MGI:2685628
CARF,79800,Carf,  MGI:2182269
CARHSP1,23589,Carhsp1,  MGI:1196368
CARM1,10498,Carm1,  MGI:1913208
CARMIL1,55604,Carmil1,  MGI:1915982
CARMIL2,146206,Carmil2,  MGI:2685431
CARMIL3,90668,Carmil3,  MGI:2448573
CARMN,728264,Carmn,  MGI:4439832
CARNMT1,138199,Carnmt1,  MGI:1914633
CARNS1,57571,Carns1,  MGI:2147595
CARS1,833,Cars,  MGI:1351477
CARS2,79587,Cars2,  MGI:1919191
CARTPT,9607,Cartpt,  MGI:1351330
CASC1,55259,Casc1,  MGI:2444480
CASC3,22794,Casc3,  MGI:2179723
CASD1,64921,Casd1,  MGI:2384865
CASK,8573,Cask,  MGI:1309489
CASKIN1,57524,Caskin1,  MGI:2442952
CASKIN2,57513,Caskin2,  MGI:2157062
CASP1,834,Casp1,  MGI:96544
CASP12,100506742,Casp12,  MGI:1312922
CASP14,23581,Casp14,  MGI:1335092
CASP16P,197350,Casp16,  MGI:3646305
CASP2,835,Casp2,  MGI:97295
CASP3,836,Casp3,  MGI:107739
CASP4,837,Casp4,  MGI:107700
CASP6,839,Casp6,  MGI:1312921
CASP7,840,Casp7,  MGI:109383
CASP8,841,Casp8,  MGI:1261423
CASP8AP2,9994,Casp8ap2,  MGI:1349399
CASP9,842,Casp9,  MGI:1277950
CASQ1,844,Casq1,  MGI:1309468
CASQ2,845,Casq2,  MGI:1309469
CASR,846,Casr,  MGI:1351351
CASS4,57091,Cass4,  MGI:2444482
CAST,831,Cast,  MGI:1098236
CASTOR1,652968,Castor1,  MGI:1919212
CASTOR2,729438,Castor2,  MGI:1933384
CASZ1,54897,Casz1,  MGI:1196251
CAT,847,Cat,  MGI:88271
CATIP,375307,Catip,  MGI:2685062
CATSPER1,117144,Catsper1,  MGI:2179947
CATSPER2,117155,Catsper2,  MGI:2387404
CATSPER3,347732,Catsper3,  MGI:1924106
CATSPER4,378807,Catsper4,  MGI:3043288
CATSPERB,79820,Catsperb,  MGI:2443988
CATSPERD,257062,Catsperd,  MGI:2147030
CATSPERE,257044,Catspere1,  MGI:3647531
CATSPERG,57828,Catsperg1,  MGI:2443617
CATSPERG,57828,Catsperg2,  MGI:1923968
CATSPERZ,25858,Catsperz,  MGI:1914327
CAV1,857,Cav1,  MGI:102709
CAV2,858,Cav2,  MGI:107571
CAV3,859,Cav3,  MGI:107570
CAVIN1,284119,Cavin1,  MGI:1277968
CAVIN2,8436,Cavin2,  MGI:99513
CAVIN3,112464,Cavin3,  MGI:1923422
CAVIN4,347273,Cavin4,  MGI:1915266
CBARP,255057,Cbarp,  MGI:1354170
CBFA2T2,9139,Cbfa2t2,  MGI:1333833
CBFA2T3,863,Cbfa2t3,  MGI:1338013
CBFB,865,Cbfb,  MGI:99851
CBL,867,Cbl,  MGI:88279
CBLB,868,Cblb,  MGI:2146430
CBLC,23624,Cblc,  MGI:1931457
CBLIF,2694,Cblif,  MGI:1202394
CBLL1,79872,Cbll1,  MGI:2144842
CBLN1,869,Cbln1,  MGI:88281
CBLN2,147381,Cbln2,  MGI:88282
CBLN3,643866,Cbln3,  MGI:1889286
CBLN4,140689,Cbln4,  MGI:2154433
CBR1,873,Cbr1,  MGI:88284
CBR3,874,Cbr3,  MGI:1309992
CBR4,84869,Cbr4,  MGI:2384567
CBS,875,Cbs,  MGI:88285
CBWD1,55871,Cbwd1,  MGI:2385089
CBX1,10951,Cbx1,  MGI:105369
CBX2,84733,Cbx2,  MGI:88289
CBX3,11335,Cbx3,  MGI:108515
CBX4,8535,Cbx4,  MGI:1195985
CBX5,23468,Cbx5,  MGI:109372
CBX6,23466,Cbx6,  MGI:3512628
CBX7,23492,Cbx7,  MGI:1196439
CBX8,57332,Cbx8,  MGI:1353589
CBY1,25776,Cby1,  MGI:1920989
CBY2,220082,Cby2,  MGI:1915176
CBY3,646019,Cby3,  MGI:1923903
CC2D1A,54862,Cc2d1a,  MGI:2384831
CC2D1B,200014,Cc2d1b,  MGI:2443076
CC2D2A,57545,Cc2d2a,  MGI:1924487
CCAR1,55749,Ccar1,  MGI:1914750
CCAR2,57805,Ccar2,  MGI:2444228
CCBE1,147372,Ccbe1,  MGI:2445053
CCDC102A,92922,Ccdc102a,  MGI:2686927
CCDC103,388389,Ccdc103,  MGI:1920543
CCDC105,126402,Ccdc105,  MGI:1918226
CCDC106,29903,Ccdc106,  MGI:2385900
CCDC107,203260,Ccdc107,  MGI:1913423
CCDC110,256309,Ccdc110,  MGI:2685018
CCDC112,153733,Ccdc112,  MGI:1918800
CCDC113,29070,Ccdc113,  MGI:3606076
CCDC114,93233,Ccdc114,  MGI:2446120
CCDC115,84317,Ccdc115,  MGI:1916918
CCDC116,164592,Ccdc116,  MGI:1924122
CCDC117,150275,Ccdc117,  MGI:2144383
CCDC12,151903,Ccdc12,  MGI:1919904
CCDC120,90060,Ccdc120,  MGI:1859619
CCDC121,79635,4930548H24Rik,  MGI:1914906
CCDC122,160857,Ccdc122,  MGI:1918358
CCDC124,115098,Ccdc124,  MGI:1916403
CCDC125,202243,Ccdc125,  MGI:1923291
CCDC126,90693,Ccdc126,  MGI:1889376
CCDC127,133957,Ccdc127,  MGI:1914683
CCDC13,152206,Ccdc13,  MGI:1920144
CCDC130,81576,Ccdc130,  MGI:1914986
CCDC134,79879,Ccdc134,  MGI:1923707
CCDC136,64753,Ccdc136,  MGI:1918128
CCDC137,339230,Ccdc137,  MGI:1914541
CCDC138,165055,Ccdc138,  MGI:1923388
CCDC14,64770,Ccdc14,  MGI:2443448
CCDC141,285025,Ccdc141,  MGI:1919735
CCDC142,84865,Ccdc142,  MGI:3045292
CCDC146,57639,Ccdc146,  MGI:1922422
CCDC148,130940,Ccdc148,  MGI:3039583
CCDC149,91050,Ccdc149,  MGI:2685293
CCDC15,80071,Ccdc15,  MGI:2444488
CCDC150,284992,Ccdc150,  MGI:1925266
CCDC151,115948,Ccdc151,  MGI:1924859
CCDC152,100129792,Ccdc152,  MGI:3641617
CCDC153,283152,Ccdc153,  MGI:2448587
CCDC154,645811,Ccdc154,  MGI:2685163
CCDC157,550631,Ccdc157,  MGI:3041210
CCDC158,339965,Ccdc158,  MGI:2444555
CCDC159,126075,Ccdc159,  MGI:1914369
CCDC160,347475,Ccdc160,  MGI:3588225
CCDC162P,221262,Ccdc162,  MGI:1923223
CCDC163,126661,Ccdc163,  MGI:1915644
CCDC166,100130274,Ccdc166,  MGI:1925902
CCDC167,154467,Ccdc167,  MGI:1915847
CCDC168,643677,Gm8251,  MGI:3647616
CCDC169,728591,Ccdc169,  MGI:2444356
CCDC17,149483,Ccdc17,  MGI:1915667
CCDC170,80129,Ccdc170,  MGI:2685067
CCDC171,203238,Ccdc171,  MGI:1922152
CCDC172,374355,Ccdc172,  MGI:1922895
CCDC173,129881,Ccdc173,  MGI:1923100
CCDC174,51244,Ccdc174,  MGI:2444652
CCDC175,729665,Ccdc175,  MGI:1921186
CCDC177,56936,Ccdc177,  MGI:2686414
CCDC178,374864,Ccdc178,  MGI:1918200
CCDC179,100500938,1700015G11Rik,  MGI:1922779
CCDC18,343099,Ccdc18,  MGI:1922974
CCDC180,100499483,Ccdc180,  MGI:2685871
CCDC181,57821,Ccdc181,  MGI:1922145
CCDC182,101927581,Ccdc182,  MGI:1921547
CCDC183,84960,Ccdc183,  MGI:1924308
CCDC184,387856,Ccdc184,  MGI:2146066
CCDC185,164127,Ccdc185,  MGI:3618292
CCDC186,55088,Ccdc186,  MGI:2445022
CCDC187,399693,Ccdc187,  MGI:3045295
CCDC188,388849,Ccdc188,  MGI:3647803
CCDC189,90835,Ccdc189,  MGI:2685012
CCDC190,339512,Ccdc190,  MGI:1925715
CCDC191,57577,Ccdc191,  MGI:1922661
CCDC192,728586,Ccdc192,  MGI:1922694
CCDC194,110806280,Ccdc194,  MGI:3588239
CCDC198,55195,ccdc198,  MGI:1914332
CCDC200,100874261,Gm11634,  MGI:3650266
CCDC201,114515518,Ccdc201,  MGI:3650614
CCDC22,28952,Ccdc22,  MGI:1859608
CCDC24,149473,Ccdc24,  MGI:2685874
CCDC25,55246,Ccdc25,  MGI:1914429
CCDC27,148870,Ccdc27,  MGI:2685881
CCDC28A,25901,Ccdc28a,  MGI:2443508
CCDC28B,79140,Ccdc28b,  MGI:1913514
CCDC3,83643,Ccdc3,  MGI:1921436
CCDC30,728621,Ccdc30,  MGI:1920582
CCDC32,90416,Ccdc32,  MGI:2685477
CCDC33,80125,Ccdc33,  MGI:1922464
CCDC34,91057,Ccdc34,  MGI:1915451
CCDC38,120935,Ccdc38,  MGI:2444738
CCDC39,339829,Ccdc39,  MGI:1289263
CCDC40,55036,Ccdc40,  MGI:2443893
CCDC42,146849,Ccdc42,  MGI:3045254
CCDC43,124808,Ccdc43,  MGI:1289318
CCDC47,57003,Ccdc47,  MGI:1914413
CCDC50,152137,Ccdc50,  MGI:1914751
CCDC51,79714,Ccdc51,  MGI:1913908
CCDC54,84692,Ccdc54,  MGI:1916589
CCDC57,284001,Ccdc57,  MGI:1918526
CCDC58,131076,Ccdc58,  MGI:2146423
CCDC59,29080,Ccdc59,  MGI:1289302
CCDC6,8030,Ccdc6,  MGI:1923801
CCDC60,160777,Ccdc60,  MGI:2141043
CCDC61,729440,Ccdc61,  MGI:2685005
CCDC62,84660,Ccdc62,  MGI:2684996
CCDC63,160762,Ccdc63,  MGI:3607777
CCDC65,85478,Ccdc65,  MGI:2146001
CCDC66,285331,Ccdc66,  MGI:2443639
CCDC68,80323,Ccdc68,  MGI:3612676
CCDC69,26112,Ccdc69,  MGI:1196234
CCDC7,79741,Ccdc7a,  MGI:1921953
CCDC7,79741,Ccdc7b,  MGI:1922703
CCDC70,83446,Ccdc70,  MGI:1915179
CCDC71,64925,Ccdc71,  MGI:1919704
CCDC71L,168455,Ccdc71l,  MGI:1919373
CCDC73,493860,Ccdc73,  MGI:3606488
CCDC74A,90557,Ccdc74a,  MGI:1919565
CCDC74B,91409,Ccdc74a,  MGI:1919565
CCDC77,84318,Ccdc77,  MGI:1914450
CCDC78,124093,Ccdc78,  MGI:2685784
CCDC8,83987,Ccdc8,  MGI:3612184
CCDC80,151887,Ccdc80,  MGI:1915146
CCDC81,60494,Ccdc81,  MGI:1918134
CCDC82,79780,Ccdc82,  MGI:1913646
CCDC83,220047,Ccdc83,  MGI:1918255
CCDC84,338657,Ccdc84,  MGI:2685960
CCDC85A,114800,Ccdc85a,  MGI:2445069
CCDC85B,11007,Ccdc85b,  MGI:2147607
CCDC85C,317762,Ccdc85c,  MGI:3644008
CCDC86,79080,Ccdc86,  MGI:1277220
CCDC87,55231,Ccdc87,  MGI:3026882
CCDC88A,55704,Ccdc88a,  MGI:1925177
CCDC88B,283234,Ccdc88b,  MGI:1925567
CCDC88C,440193,Ccdc88c,  MGI:1915589
CCDC89,220388,Ccdc89,  MGI:1917304
CCDC9,26093,Ccdc9,  MGI:1921443
CCDC90B,60492,Ccdc90b,  MGI:1913615
CCDC91,55297,Ccdc91,  MGI:1914265
CCDC92,80212,Ccdc92,  MGI:106485
CCDC92B,101928991,Ccdc92b,  MGI:3588240
CCDC93,54520,Ccdc93,  MGI:1918079
CCDC96,257236,Ccdc96,  MGI:1913967
CCDC97,90324,Ccdc97,  MGI:1196455
CCDC9B,388115,Ccdc9b,  MGI:2685199
CCER1,196477,Ccer1,  MGI:1913966
CCER2,643669,Ccer2,  MGI:3645242
CCHCR1,54535,Cchcr1,  MGI:2385321
CCIN,881,Ccin,  MGI:3045316
CCK,885,Cck,  MGI:88297
CCKAR,886,Cckar,  MGI:99478
CCKBR,887,Cckbr,  MGI:99479
CCL1,6346,Ccl1,  MGI:98258
CCL11,6356,Ccl11,  MGI:103576
CCL17,6361,Ccl17,  MGI:1329039
CCL19,6363,Ccl19,  MGI:1346316
CCL2,6347,Ccl2,  MGI:98259
CCL20,6364,Ccl20,  MGI:1329031
CCL21,6366,Ccl21a,  MGI:1349183
CCL21,6366,Ccl21b,  MGI:1349182
CCL21,6366,Ccl21d,  MGI:5434896
CCL21,6366,Gm10591,  MGI:3711256
CCL21,6366,Gm13304,  MGI:3710514
CCL22,6367,Ccl22,  MGI:1306779
CCL24,6369,Ccl24,  MGI:1928953
CCL25,6370,Ccl25,  MGI:1099448
CCL26,10344,Ccl26,  MGI:3589281
CCL27,10850,Ccl27a,  MGI:1343459
CCL27,10850,Ccl27b,  MGI:1891389
CCL27,10850,Gm13306,  MGI:3713752
CCL28,56477,Ccl28,  MGI:1861731
CCL3,6348,Ccl3,  MGI:98260
CCL4,6351,Ccl4,  MGI:98261
CCL5,6352,Ccl5,  MGI:98262
